feature,importance
worst area,0.1300079859244934
worst perimeter,0.12794797457479617
worst concave points,0.12718298055519622
worst radius,0.09280665977806213
mean concave points,0.08902868426763719
mean radius,0.05453771597505826
mean concavity,0.05092361929363211
mean perimeter,0.04970339714488419
mean area,0.042165026654823266
area error,0.03702081743034798
worst concavity,0.033652645268491876
worst texture,0.017897493662194564
radius error,0.01694024334251516
worst compactness,0.016704694855195493
mean texture,0.013547127689572275
mean compactness,0.013398227773789498
worst smoothness,0.01338576403197165
worst symmetry,0.009907686548623828
perimeter error,0.008243430750737437
worst fractal dimension,0.006412372175086834
mean smoothness,0.00628271883310977
concave points error,0.006135548526699458
concavity error,0.005774188665642664
texture error,0.004873062731212558
fractal dimension error,0.004680786028009517
symmetry error,0.004463594940530061
compactness error,0.004397432177401411
mean symmetry,0.004279818759035856
smoothness error,0.004261899017009062
mean fractal dimension,0.0034364026242400684
